Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2004,ZWE,CHE,Zimbabwe,Switzerland,ASY,,,,0,0,0,7,0,0,7,0,0,0,9,0,0,9,16
2004,ZWE,THA,Zimbabwe,Thailand,ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2004,ZWE,UKR,Zimbabwe,Ukraine,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,USA,Zimbabwe,United States of America,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514
2004,ZWE,USA,Zimbabwe,United States of America,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481
2005,ZWE,ARG,Zimbabwe,Argentina,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ZWE,AUS,Zimbabwe,Australia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2005,ZWE,AUS,Zimbabwe,Australia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
2005,ZWE,AUT,Zimbabwe,Austria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ZWE,BEL,Zimbabwe,Belgium,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2005,ZWE,BWA,Zimbabwe,Botswana,ASY,,,,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2005,ZWE,BWA,Zimbabwe,Botswana,REF,,,,0,0,0,17,0,5,22,0,0,0,58,0,0,58,87
2005,ZWE,BRA,Zimbabwe,Brazil,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ZWE,BGR,Zimbabwe,Bulgaria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ZWE,CAN,Zimbabwe,Canada,ASY,,,,28,0,0,256,5,53,342,22,0,0,216,0,45,283,625
2005,ZWE,CAN,Zimbabwe,Canada,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433
2005,ZWE,CHN,Zimbabwe,China,REF,,,,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2005,ZWE,DNK,Zimbabwe,Denmark,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ZWE,FIN,Zimbabwe,Finland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ZWE,FRA,Zimbabwe,France,REF,,,,0,0,0,0,0,5,5,0,0,0,0,0,6,6,11
2005,ZWE,GBR,Zimbabwe,United Kingdom of Great Britain and Northern Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7093
2005,ZWE,DEU,Zimbabwe,Germany,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2005,ZWE,DEU,Zimbabwe,Germany,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2005,ZWE,GHA,Zimbabwe,Ghana,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
